	Epoch			Reward
Episode:	160	Avereged	reward:	21.17
Episode:	161	Avereged	reward:	21.2
Episode:	162	Avereged	reward:	21.3
Episode:	163	Avereged	reward:	21.37
Episode:	164	Avereged	reward:	21.37
Episode:	165	Avereged	reward:	21.43
Episode:	166	Avereged	reward:	21.4
Episode:	167	Avereged	reward:	21.7
Episode:	168	Avereged	reward:	21.73
Episode:	169	Avereged	reward:	21.5
Episode:	170	Avereged	reward:	21.7
Episode:	171	Avereged	reward:	22.23
Episode:	172	Avereged	reward:	22.3
Episode:	173	Avereged	reward:	22.37
Episode:	174	Avereged	reward:	22.37
Episode:	175	Avereged	reward:	22.47
Episode:	176	Avereged	reward:	21.9
Episode:	177	Avereged	reward:	22.07
Episode:	178	Avereged	reward:	22.23
Episode:	179	Avereged	reward:	22.2
Episode:	180	Avereged	reward:	21.93
Episode:	181	Avereged	reward:	22.03
Episode:	182	Avereged	reward:	21.57
Episode:	183	Avereged	reward:	21.77
Episode:	184	Avereged	reward:	21.47
Episode:	185	Avereged	reward:	21.6
Episode:	186	Avereged	reward:	21.57
Episode:	187	Avereged	reward:	20.9
Episode:	188	Avereged	reward:	21.03
Episode:	189	Avereged	reward:	20.53
Episode:	190	Avereged	reward:	20.37
Episode:	191	Avereged	reward:	20.33
Episode:	192	Avereged	reward:	20.1
Episode:	193	Avereged	reward:	20.27
Episode:	194	Avereged	reward:	20.2
Episode:	195	Avereged	reward:	20.23
Episode:	196	Avereged	reward:	20.07
Episode:	197	Avereged	reward:	19.6
Episode:	198	Avereged	reward:	19.93
Episode:	199	Avereged	reward:	19.9
Episode:	200	Avereged	reward:	19.83
Episode:	201	Avereged	reward:	19.43
Episode:	202	Avereged	reward:	19.6
Episode:	203	Avereged	reward:	19.97
Episode:	204	Avereged	reward:	19.63
Episode:	205	Avereged	reward:	19.5
Episode:	206	Avereged	reward:	19.37
Episode:	207	Avereged	reward:	19.43
Episode:	208	Avereged	reward:	19.27
Episode:	209	Avereged	reward:	19.03
Episode:	210	Avereged	reward:	19.4
Episode:	211	Avereged	reward:	19.3
Episode:	212	Avereged	reward:	19.33
Episode:	213	Avereged	reward:	18.9
Episode:	214	Avereged	reward:	18.93
Episode:	215	Avereged	reward:	18.9
Episode:	216	Avereged	reward:	18.97
Episode:	217	Avereged	reward:	19.37
Episode:	218	Avereged	reward:	19.43
Episode:	219	Avereged	reward:	20.13
Episode:	220	Avereged	reward:	20
Episode:	221	Avereged	reward:	20.1
Episode:	222	Avereged	reward:	19.97
Episode:	223	Avereged	reward:	20.23
Episode:	224	Avereged	reward:	20.2
Episode:	225	Avereged	reward:	20.5
Episode:	226	Avereged	reward:	20.67
Episode:	227	Avereged	reward:	21.03
Episode:	228	Avereged	reward:	21
Episode:	229	Avereged	reward:	21.13
Episode:	230	Avereged	reward:	21.33
Episode:	231	Avereged	reward:	21.17
Episode:	232	Avereged	reward:	20.77
Episode:	233	Avereged	reward:	20.6
Episode:	234	Avereged	reward:	20.77
Episode:	235	Avereged	reward:	20.9
Episode:	236	Avereged	reward:	21.23
Episode:	237	Avereged	reward:	21.1
Episode:	238	Avereged	reward:	21.47
Episode:	239	Avereged	reward:	21.67
Episode:	240	Avereged	reward:	21.5
Episode:	241	Avereged	reward:	21.77
Episode:	242	Avereged	reward:	22.2
Episode:	243	Avereged	reward:	22.6
Episode:	244	Avereged	reward:	22.87
Episode:	245	Avereged	reward:	22.57
Episode:	246	Avereged	reward:	22.37
Episode:	247	Avereged	reward:	22.27
Episode:	248	Avereged	reward:	22.27
Episode:	249	Avereged	reward:	22.17
Episode:	250	Avereged	reward:	22.47
Episode:	251	Avereged	reward:	22.2
Episode:	252	Avereged	reward:	22.23
Episode:	253	Avereged	reward:	21.93
Episode:	254	Avereged	reward:	22.03
Episode:	255	Avereged	reward:	21.67
Episode:	256	Avereged	reward:	21.77
Episode:	257	Avereged	reward:	21.53
Episode:	258	Avereged	reward:	21.43
Episode:	259	Avereged	reward:	21.2
Episode:	260	Avereged	reward:	20.97
Episode:	261	Avereged	reward:	21.13
Episode:	262	Avereged	reward:	21.57
Episode:	263	Avereged	reward:	21.83
Episode:	264	Avereged	reward:	21.47
Episode:	265	Avereged	reward:	21.63
Episode:	266	Avereged	reward:	21.43
Episode:	267	Avereged	reward:	21.2
Episode:	268	Avereged	reward:	20.9
Episode:	269	Avereged	reward:	20.8
Episode:	270	Avereged	reward:	20.8
Episode:	271	Avereged	reward:	20.43
Episode:	272	Avereged	reward:	20.07
Episode:	273	Avereged	reward:	19.8
Episode:	274	Avereged	reward:	19.6
Episode:	275	Avereged	reward:	19.93
Episode:	276	Avereged	reward:	20.37
Episode:	277	Avereged	reward:	20.47
Episode:	278	Avereged	reward:	20.87
Episode:	279	Avereged	reward:	20.47
Episode:	280	Avereged	reward:	20.23
